Two trains pass each other at the mouth of a tunnel built into a hillside.|46912
A green double decker bus stopped at a city bus stop along the street.|61938
The clock on the building is in the shape of a coffee cup.|64822
A zebra standing alone in the snow with a stone block wall and wooden fence behind it.|75162
A road with motorcycle riders, a bus, a person riding an elephant and people walking on the side of the road.|109819
A road with motorcycle riders, a bus, a person riding an elephant and people walking on the side of the road.|109819
The living room wall has many framed pictures above the sofa.|143975
Shelves filled with Christmas items in a retail shop.|209604
An overhead view shows a lone person with a blue umbrella crossing a wet striped crosswalk.|237558
A couple protecting their young baby with a sun umbrella and cloth|247285
A building with a spire lights up the night in the city.|270918
A long train travels on tracks through a city lined with tall glass-fronted buildings.|284885
A display case of teddy bears wearing various clothing.|289610
A grasshopper in a cage eating a slice of carrot.|296303
A white horse with blue haunches stands next to an elegantly dressed, black-haired man holding a sword.|316795
A vendor sits in a small wooden boat loaded with fruits on a crowded floating market waterway.|326217
A motorcycle sits parked across from a herd of livestock.|354533
A room in a house that has two bookshelves extending from the floor to the ceiling on each side of a doorway.|362373
A black dog lounges on an upholstered armchair strapped into the bed of a pickup truck.|368905
A fire hydrant in front of a snow covered field, a lake and mountain backdrop.|380932
Several elephants, including a baby, walk through dense green jungle vegetation.|471497
A small garden courtyard with dense shrubbery surrounds an outdoor table and chairs.|553320
A giraffe runs across a dirt road cutting through a scrubby landscape.|574725
A train moves past a lush, colorful garden while a person stands in the locomotive doorway.|575428
A group of people in costumes and most on horses carrying flags.|16574
Sailboats sit moored in a harbor at dusk beneath a bright full moon.|20395
A view of an empty conference room with laptops.|41550
The girl is wearing a girl scout uniform and firing a tiny cannon between the fenceposts.|65227
People walk along a narrow city street at night lined with cars and bright Japanese shop signs.|490338
A young man holding a stuffed teddy bear and a white umbrella.|557981
A banana in a little chair near a window.|185802
a table full of bananas being sold outside|429281
A toilet and sink side by side in a bathroom and a mirror.|431140
A carved bear that has a ribbon around the neck.|189436
A brown fuzzy bear standing in front of a leaf filled tree.|307658
A bench sitting on the beach near the ocean.|282046
Colorful bird sitting on a branch of a tree.|337987
A blender is sitting next to a printer.|284282
A red and white boat floating along a river.|330369
There is a water shuttle going down a canal.|378139
Several rows of boats docked on a body of water.|442822
several  wooden boats sitting in the sand|503823
A yellow commuter bus leaving a bus stop at sunset|499775
A cat laying on a bed in front of a book shelf.|134882
a big cat sitting in a little bowl|213445
An orange cat sitting on top of a computer desk.|245576
A cat peeking it's head out of the blankets.|291490
a cat sitting in a bathtub not looking amused|558073
A tabby cat siting on an orange chair|106389
A city street filled with lots of traffic and people.|336232
A crowd of people standing on snow covered ground.|411530
A cyclist pauses near the water to observe a canoe.|395180
a home bar with different drink ingredients under a large decorative sign saying, PUB.|214224
A vase with various flowers in it on a display case.|31050
A vase filled with red and white flowers on top of a table.|550426
a plate of meat topped with potatoes veggies and gravy|10583
Variety of fruits such as bananas, oranges, and apples on a platter.|189078
A pizza covered in cheese dripping down onto the bottom of an oven burning.|194746
Various dishes of food sit in bowls on a table.|286908
a woman siting at a restaurant table with a plate of mexican food on it|356531
An aluminum pan full of chopped broccoli and carrots.|465585
Belgium waffle loaded with bananas topped with powdered sugar with syrup and more fruit as a garnish.|479448
A cake that is sitting in the grass.|556873
There are two refrigerators in this dirty, rundown kitchen.|168593
A number of vintage refrigerators and freezers sitting outdoors.|462629
A black refrigerator freezer inside of a kitchen.|537672
A giraffe standing on a grass covered field.|152870
A giraffe facing the camera as its photo is taken.|216739
Two brown ponies in grassy field next to a fence.|335450
A big and white horse in a dirt cage.|382088
An old man is flying his kite in the middle of no where.|577959
A street light in front of a store front window.|542073
A man walking down a street smoking a cigarette.|297578
A man standing in front of the open door of a bus.|333402
A man standing next to suitcases and bags.|341469
A row of parked motorcycles sitting in front of a tall building.|356387
there is a young girl putting food in to a oven|280930
"a plane flying by a bright moon in the sky
"|22396
A living room filled with furniture and  set of glass doors.|344621
A rooster is walking on a grassy beach.|221017
A row of seats inside of an airplane.|224119
A long tunnel with a long table with lots of seats and candles next to wine glasses.|379476
A little boy riding his bike and wearing a helmet|210299
A young boy riding a skateboard across a parking lot.|106912
a person skiing through the snow near some trees toward a sunset|186042
this person is leaving footprints in the snow|248284
A blue, yellow and green surfboard sticking out of a sandy beach.|204329
A group of teddy bears sitting at a small table in front of a christmas tree.|249129
A tall red bricked clock tower with three windows.|245173
a tall church tower with a clock at the top|376856
A traffic light with a sad face on the red light.|531134
a red and black train is coming down the tracks|14473
A passenger train that has some graffiti on it.|530466
An old passenger trolley is on the street.|376625
A tan utility truck with a blue interior.|81394
A zebra grazing on grass near a river.|350488
a zebra and a giraffe stand next to each other.|433243
A vase siting on top of a wooden shelf near a map.|167240
two giraffes are standing together outside a barn|153299
A jouster rides on a horse through a field while an audience watches.|199236
